Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Forest Materials,11.226666666666667,21.663333333333338,46.586666666666666,44.323333333333345,45.57,3,0,1,0,16.445,86.36363636363636,1,1,44.626666666666665,81.81818181818183,0,0,1,0,0.94,0,0,0,False
Textiles,11.199375,20.310625,43.4625,43.69125,43.565625,16,0,3,0,15.755,81.81818181818183,2,2,43.1025,77.27272727272727,0,0,3,0,0.46,0,0,0,False
Healthcare,8.39969696969697,27.889545454545456,40.60287878787879,38.75212121212121,39.77,66,0,19,0,18.144621212121212,95.45454545454545,3,3,41.44545454545455,90.9090909090909,0,0,20,0,-1.68,0,0,-1,False
Automobile and Auto Components,15.878979591836735,17.46326530612245,39.37510204081633,39.70897959183674,39.526326530612245,49,0,17,0,16.671122448979595,90.9090909090909,4,4,39.65387755102041,86.36363636363636,0,0,17,0,-0.13,0,0,0,False
Financial Services,4.985826086956521,8.911739130434782,34.52495652173913,40.554,37.23852173913044,115,0,27,0,6.948782608695652,59.09090909090909,5,6,36.76495652173913,59.09090909090909,0,0,26,1,0.47,0,0,1,False
Realty,6.795555555555556,3.1116666666666664,31.60722222222222,43.327777777777776,36.88333333333333,18,0,4,0,4.953611111111111,50.0,6,5,36.90111111111111,40.909090909090914,0,0,4,-1,-0.02,0,0,0,False
"Oil, Gas & Consumable Fuels",9.245263157894739,9.544210526315789,32.433684210526316,38.76263157894737,35.28315789473684,19,0,3,0,9.394736842105264,68.18181818181817,7,7,35.1278947368421,68.18181818181817,0,0,2,0,0.16,0,0,1,False
"Media, Entertainment & Publication",0.3427272727272728,0.8781818181818182,28.20818181818182,39.76,33.405454545454546,11,0,2,0,0.6104545454545455,13.636363636363635,8,8,33.52363636363636,22.727272727272727,0,0,2,0,-0.12,0,0,0,False
Consumer Durables,5.542926829268293,3.8329268292682928,30.433658536585366,36.321951219512194,33.08439024390244,41,0,5,0,4.687926829268292,40.909090909090914,9,9,33.39317073170732,45.45454545454545,0,0,8,0,-0.31,0,0,-3,False
Chemicals,3.437678571428571,13.933214285714286,32.551785714285714,32.29375,32.43678571428571,56,0,7,0,8.685446428571428,63.63636363636363,10,12,32.425,63.63636363636363,0,0,8,2,0.01,0,0,-1,False
Telecommunication,5.765,51.6025,28.3125,37.47833333333333,32.43666666666667,12,0,1,0,28.68375,100.0,11,15,29.839166666666667,100.0,0,0,0,4,2.6,0,0,1,False
Capital Goods,4.60954128440367,22.330917431192663,32.23091743119266,32.20495412844037,32.219357798165134,109,0,11,0,13.470229357798166,72.72727272727273,12,11,32.439449541284404,72.72727272727273,0,0,12,-1,-0.22,0,0,-1,False
Services,5.536666666666666,6.698333333333333,26.799666666666667,35.852999999999994,30.87366666666667,30,0,2,0,6.1175,54.54545454545454,13,13,30.258,50.0,0,0,2,0,0.62,0,0,0,False
Fast Moving Consumer Goods,-2.0459090909090905,5.407045454545455,30.30568181818182,31.169545454545457,30.69522727272727,44,0,4,0,1.6805681818181821,18.181818181818183,14,14,30.03227272727273,18.181818181818183,0,0,4,0,0.66,0,0,0,False
Information Technology,7.220263157894737,2.5560526315789476,25.716315789473686,33.11815789473684,29.047894736842103,38,0,1,0,4.8881578947368425,45.45454545454545,15,16,28.518157894736845,54.54545454545454,0,0,1,1,0.53,0,0,0,False
Utilities,8.455,22.560000000000002,28.01,30.25,29.020000000000003,2,0,0,0,15.5075,77.27272727272727,16,10,33.364999999999995,95.45454545454544,0,0,0,-6,-4.34,0,0,0,False
Consumer Services,7.491463414634146,1.5934146341463413,21.683658536585366,34.46414634146341,27.434634146341462,41,0,4,0,4.5424390243902435,36.36363636363637,17,17,28.29775,36.36363636363637,0,0,4,0,-0.86,0,0,0,False
Metals & Mining,-3.4276190476190473,9.689047619047619,28.312380952380956,25.170476190476194,26.899047619047618,21,0,1,0,3.130714285714286,31.818181818181817,18,19,27.017619047619046,13.636363636363637,0,0,2,1,-0.12,0,0,-1,False
Diversified,-1.0475000000000003,5.77,35.2,15.6175,26.3875,4,0,0,0,2.3612499999999996,22.727272727272727,19,18,27.225,31.818181818181817,0,0,0,-1,-0.84,0,0,0,False
Construction Materials,-4.4,-7.440666666666667,22.726666666666667,29.676,25.854,15,0,1,0,-5.920333333333334,4.545454545454546,20,22,24.81066666666667,4.545454545454546,0,0,0,2,1.04,0,0,1,False
Power,-7.713684210526316,12.900526315789474,27.26421052631579,23.48578947368421,25.56421052631579,19,0,0,0,2.593421052631579,27.27272727272727,21,21,25.35368421052632,27.27272727272727,0,0,0,0,0.21,0,0,0,False
Construction,-7.2877777777777775,-2.2325925925925927,20.59444444444444,30.475555555555555,25.041481481481483,27,0,1,0,-4.760185185185185,9.090909090909092,22,20,25.52925925925926,9.090909090909092,0,0,1,-2,-0.49,0,0,0,False
