Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank
Forest Materials,10.983333333333334,30.900000000000002,36.803333333333335,45.086666666666666,40.53333333333333,3,0,1,0,20.94166666666667,95.45454545454545,1
Automobile and Auto Components,12.713061224489797,19.558775510204082,33.13265306122449,40.05183673469388,36.2465306122449,49,0,16,0,16.13591836734694,77.27272727272727,2
Healthcare,6.266212121212121,28.629242424242424,32.37681818181818,40.55893939393939,36.05909090909091,66,0,21,0,17.44772727272727,86.36363636363636,3
Realty,4.903333333333332,5.961666666666667,26.045,42.42111111111111,33.41444444444445,18,0,4,0,5.432499999999999,31.818181818181817,4
Financial Services,3.3224347826086955,10.065826086956521,25.639739130434783,39.82930434782609,32.0255652173913,115,0,26,0,6.6941304347826085,45.45454545454545,5
Textiles,9.070625,24.115,29.64875,34.091875,31.64875,16,0,2,0,16.5928125,81.81818181818183,6
Utilities,8.18,33.504999999999995,31.15,29.099999999999998,30.229999999999997,2,0,0,0,20.842499999999998,90.9090909090909,7
"Media, Entertainment & Publication",4.897272727272727,6.071818181818182,20.48909090909091,40.87818181818182,29.664545454545454,11,0,2,0,5.484545454545454,36.36363636363637,8
Capital Goods,3.0858715596330275,25.21467889908257,25.667522935779818,33.28045871559633,29.093669724770642,109,0,13,0,14.1502752293578,72.72727272727273,9
"Oil, Gas & Consumable Fuels",5.567368421052632,12.80578947368421,21.402105263157893,36.35473684210526,28.130526315789474,19,0,3,0,9.186578947368421,68.18181818181817,10
Fast Moving Consumer Goods,2.126590909090909,10.602045454545454,23.33568181818182,32.59409090909091,27.502272727272725,44,0,6,0,6.364318181818182,40.909090909090914,11
Chemicals,1.2203571428571427,16.49892857142857,23.371785714285714,31.65267857142857,27.09875,56,0,6,0,8.859642857142857,63.63636363636363,12
Consumer Durables,3.2556097560975608,6.590243902439024,19.9009756097561,35.53292682926829,26.93512195121951,41,0,4,0,4.922926829268293,27.27272727272727,13
Consumer Services,7.670243902439025,7.6885365853658545,17.944878048780488,35.856097560975606,26.00536585365854,41,0,5,0,7.679390243902439,54.54545454545454,14
Telecommunication,-0.6875,49.346666666666664,16.675,34.48916666666667,24.690833333333334,12,0,1,0,24.329583333333332,100.0,15
Information Technology,4.085789473684211,10.669210526315789,18.184473684210527,32.515,24.633947368421055,38,0,1,0,7.3774999999999995,50.0,16
Metals & Mining,-7.376190476190477,13.68904761904762,21.282857142857143,26.54619047619048,23.65285714285714,21,0,2,0,3.156428571428572,18.181818181818183,17
Services,4.1946666666666665,11.425666666666666,15.031333333333333,32.660666666666664,22.965,30,0,4,0,7.8101666666666665,59.09090909090909,18
Construction Materials,-5.836,-5.271333333333333,15.897333333333334,28.958000000000002,21.775333333333332,15,0,0,0,-5.5536666666666665,4.545454545454546,19
Construction,-8.162222222222223,0.6351851851851854,12.116296296296296,27.702962962962964,19.13185185185185,27,0,0,0,-3.7635185185185187,9.090909090909092,20
Power,-11.448947368421052,13.483684210526315,17.30578947368421,21.179473684210524,19.048947368421054,19,0,0,0,1.0173684210526313,13.636363636363635,21
Diversified,-1.7475,9.7775,15.8475,11.275,13.7875,4,0,0,0,4.015,22.727272727272727,22
