Company Name,Industry,Symbol,Series,ISIN Code,Ticker,sector,industry_group,is_fo_stock,fo_category,Include
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,INE466L01038,360ONE.NS,Unknown,Unknown,True,F&O,1
3M India Limited,Diversified,3MINDIA,EQ,INE470A01017,3MINDIA.NS,Unknown,Unknown,False,Cash,1
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,AADHARHFC.NS,Unknown,Unknown,False,Cash,1
Aarti Drugs Limited,Healthcare,AARTIDRUGS,EQ,INE767A01016,AARTIDRUGS.NS,Unknown,Unknown,False,Cash,1
Aarti Industries Limited,Chemicals,AARTIIND,EQ,INE769A01020,AARTIIND.NS,Unknown,Unknown,False,Cash,1
Aarti Pharmalabs Limited,Healthcare,AARTIPHARM,EQ,INE0LRU01027,AARTIPHARM.NS,Unknown,Unknown,False,Cash,1
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,AAVAS.NS,Unknown,Unknown,False,Cash,1
ABB India Limited,Capital Goods,ABB,EQ,INE117A01022,ABB.NS,Unknown,Unknown,True,F&O,1
Abbott India Limited,Healthcare,ABBOTINDIA,EQ,INE358A01014,ABBOTINDIA.NS,Unknown,Unknown,False,Cash,1
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAPITAL.NS,Unknown,Unknown,True,F&O,1
Aditya Birla Fashion and Retail Limited,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL.NS,Unknown,Unknown,False,Cash,1
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,ABLBL.NS,Unknown,Unknown,False,Cash,1
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,ABREL.NS,Unknown,Unknown,False,Cash,1
Aditya Birla Sun Life AMC Limited,Financial Services,ABSLAMC,EQ,INE404A01024,ABSLAMC.NS,Unknown,Unknown,False,Cash,1
ACC Limited,Construction Materials,ACC,EQ,INE012A01025,ACC.NS,Unknown,Unknown,False,Cash,1
Action Construction Equipment Limited,Capital Goods,ACE,EQ,INE731H01025,ACE.NS,Unknown,Unknown,False,Cash,1
Archean Chemical Industries Limited,Chemicals,ACI,EQ,INE128X01021,ACI.NS,Unknown,Unknown,False,Cash,1
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,ACMESOLAR.NS,Unknown,Unknown,False,Cash,1
Adani Energy Solutions Limited,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS,Unknown,Unknown,True,F&O,1
Adani Enterprises Limited,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS,Unknown,Unknown,True,F&O,1
Adani Green Energy Limited,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS,Unknown,Unknown,True,F&O,1
Adani Ports and Special Economic Zone Limited,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS,Unknown,Unknown,True,F&O,1
Adani Power Limited,Power,ADANIPOWER,EQ,INE814H01011,ADANIPOWER.NS,Unknown,Unknown,True,F&O,1
Advanced Enzyme Technologies Limited,Healthcare,ADVENZYMES,EQ,INE837H01020,ADVENZYMES.NS,Unknown,Unknown,False,Cash,1
Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",AEGISLOG,EQ,INE208C01025,AEGISLOG.NS,Unknown,Unknown,False,Cash,1
Aegis Vopak Terminals Ltd.,"Oil, Gas & Consumable Fuels",AEGISVOPAK,EQ,INE0INX01018,AEGISVOPAK.NS,Unknown,Unknown,False,Cash,1
Aether Industries Limited,Chemicals,AETHER,EQ,INE0BWX01014,AETHER.NS,Unknown,Unknown,False,Cash,1
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,AFCONS.NS,Unknown,Unknown,False,Cash,1
Affle (India) Limited,Information Technology,AFFLE,EQ,INE00WC01027,AFFLE.NS,Unknown,Unknown,False,Cash,1
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,INE943P01029,AGARWALEYE.NS,Unknown,Unknown,False,Cash,1
AGI Greenpac Limited,Capital Goods,AGI,EQ,INE415A01038,AGI.NS,Unknown,Unknown,False,Cash,1
Ahluwalia Contracts (India) Limited,Construction,AHLUCONT,EQ,INE758C01029,AHLUCONT.NS,Unknown,Unknown,False,Cash,1
AIA Engineering Limited,Capital Goods,AIAENG,EQ,INE212H01026,AIAENG.NS,Unknown,Unknown,False,Cash,1
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,AIIL.NS,Unknown,Unknown,False,Cash,1
Ajanta Pharma Limited,Healthcare,AJANTPHARM,EQ,INE031B01049,AJANTPHARM.NS,Unknown,Unknown,False,Cash,1
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,AKUMS.NS,Unknown,Unknown,False,Cash,1
Akzo Nobel India Limited,Consumer Durables,AKZOINDIA,EQ,INE133A01011,AKZOINDIA.NS,Unknown,Unknown,False,Cash,1
Alkem Laboratories Limited,Healthcare,ALKEM,EQ,INE540L01014,ALKEM.NS,Unknown,Unknown,True,F&O,1
Alkyl Amines Chemicals Limited,Chemicals,ALKYLAMINE,EQ,INE150B01039,ALKYLAMINE.NS,Unknown,Unknown,False,Cash,1
Allcargo Logistics Limited,Services,ALLCARGO,EQ,INE418H01029,ALLCARGO.NS,Unknown,Unknown,False,Cash,1
Alok Industries Limited,Textiles,ALOKINDS,EQ,INE270A01029,ALOKINDS.NS,Unknown,Unknown,False,Cash,1
Amber Enterprises India Limited,Consumer Durables,AMBER,EQ,INE371P01015,AMBER.NS,Unknown,Unknown,True,F&O,1
Ambuja Cements Limited,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS,Unknown,Unknown,True,F&O,1
Anand Rathi Wealth Limited,Financial Services,ANANDRATHI,EQ,INE463V01026,ANANDRATHI.NS,Unknown,Unknown,False,Cash,1
Anant Raj Limited,Realty,ANANTRAJ,EQ,INE242C01024,ANANTRAJ.NS,Unknown,Unknown,False,Cash,1
Angel One Limited,Financial Services,ANGELONE,EQ,INE732I01013,ANGELONE.NS,Unknown,Unknown,True,F&O,1
Anupam Rasayan India Limited,Chemicals,ANURAS,EQ,INE930P01018,ANURAS.NS,Unknown,Unknown,False,Cash,1
Apar Industries Limited,Capital Goods,APARINDS,EQ,INE372A01015,APARINDS.NS,Unknown,Unknown,False,Cash,1
APL Apollo Tubes Limited,Capital Goods,APLAPOLLO,EQ,INE702C01027,APLAPOLLO.NS,Unknown,Unknown,True,F&O,1
Alembic Pharmaceuticals Limited,Healthcare,APLLTD,EQ,INE901L01018,APLLTD.NS,Unknown,Unknown,False,Cash,1
Apollo Micro Systems Limited,Capital Goods,APOLLO,EQ,INE713T01028,APOLLO.NS,Unknown,Unknown,False,Cash,1
Apollo Hospitals Enterprise Limited,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS,Unknown,Unknown,True,F&O,1
Apollo Tyres Limited,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE.NS,Unknown,Unknown,False,Cash,1
Aptus Value Housing Finance India Limited,Financial Services,APTUS,EQ,INE852O01025,APTUS.NS,Unknown,Unknown,False,Cash,1
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,ARE&M.NS,Unknown,Unknown,False,Cash,1
Arvind Limited,Textiles,ARVIND,EQ,INE034A01011,ARVIND.NS,Unknown,Unknown,False,Cash,1
Arvind Fashions Limited,Consumer Services,ARVINDFASN,EQ,INE955V01021,ARVINDFASN.NS,Unknown,Unknown,False,Cash,1
Asahi India Glass Limited,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,ASAHIINDIA.NS,Unknown,Unknown,False,Cash,1
Ashoka Buildcon Limited,Construction,ASHOKA,EQ,INE442H01029,ASHOKA.NS,Unknown,Unknown,False,Cash,1
Ashok Leyland Limited,Capital Goods,ASHOKLEY,EQ,INE208A01029,ASHOKLEY.NS,Unknown,Unknown,True,F&O,1
Asian Paints Limited,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS,Unknown,Unknown,True,F&O,1
Aster DM Healthcare Limited,Healthcare,ASTERDM,EQ,INE914M01019,ASTERDM.NS,Unknown,Unknown,False,Cash,1
Astral Limited,Capital Goods,ASTRAL,EQ,INE006I01046,ASTRAL.NS,Unknown,Unknown,True,F&O,1
Astra Microwave Products Limited,Capital Goods,ASTRAMICRO,EQ,INE386C01029,ASTRAMICRO.NS,Unknown,Unknown,False,Cash,1
AstraZeneca Pharma India Limited,Healthcare,ASTRAZEN,EQ,INE203A01020,ASTRAZEN.NS,Unknown,Unknown,False,Cash,1
Adani Total Gas Limited,"Oil, Gas & Consumable Fuels",ATGL,EQ,INE399L01023,ATGL.NS,Unknown,Unknown,False,Cash,1
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,ATHERENERG.NS,Unknown,Unknown,False,Cash,1
Atul Limited,Chemicals,ATUL,EQ,INE100A01010,ATUL.NS,Unknown,Unknown,False,Cash,1
AU Small Finance Bank Limited,Financial Services,AUBANK,EQ,INE949L01017,AUBANK.NS,Unknown,Unknown,True,F&O,1
Aurobindo Pharma Limited,Healthcare,AUROPHARMA,EQ,INE406A01037,AUROPHARMA.NS,Unknown,Unknown,True,F&O,1
Adani Wilmar Limited,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWL.NS,Unknown,Unknown,False,Cash,1
Axis Bank Limited,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS,Unknown,Unknown,True,F&O,1
Bajaj Auto Limited,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS,Unknown,Unknown,True,F&O,1
Bajaj Consumer Care Limited,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021,BAJAJCON.NS,Unknown,Unknown,False,Cash,1
Bajaj Finserv Limited,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS,Unknown,Unknown,True,F&O,1
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,BAJAJHFL.NS,Unknown,Unknown,False,Cash,1
Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021,BAJAJHIND.NS,Unknown,Unknown,False,Cash,1
Bajaj Holdings & Investment Limited,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS,Unknown,Unknown,True,F&O,1
Bajaj Finance Limited,Financial Services,BAJFINANCE,EQ,INE296A01024,BAJFINANCE.NS,Unknown,Unknown,True,F&O,1
Balaji Amines Limited,Chemicals,BALAMINES,EQ,INE050E01027,BALAMINES.NS,Unknown,Unknown,False,Cash,1
Balkrishna Industries Limited,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,BALKRISIND.NS,Unknown,Unknown,False,Cash,1
Balmer Lawrie & Company Limited,Diversified,BALMLAWRIE,EQ,INE164A01016,BALMLAWRIE.NS,Unknown,Unknown,False,Cash,1
Balrampur Chini Mills Limited,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,BALRAMCHIN.NS,Unknown,Unknown,False,Cash,1
Banco Products (I) Limited,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025,BANCOINDIA.NS,Unknown,Unknown,False,Cash,1
Bandhan Bank Limited,Financial Services,BANDHANBNK,EQ,INE545U01014,BANDHANBNK.NS,Unknown,Unknown,True,F&O,1
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,BANKBARODA.NS,Unknown,Unknown,True,F&O,1
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,BANKINDIA.NS,Unknown,Unknown,True,F&O,1
BASF India Limited,Chemicals,BASF,EQ,INE373A01013,BASF.NS,Unknown,Unknown,False,Cash,1
Bata India Limited,Consumer Durables,BATAINDIA,EQ,INE176A01028,BATAINDIA.NS,Unknown,Unknown,False,Cash,1
Bayer Cropscience Limited,Chemicals,BAYERCROP,EQ,INE462A01022,BAYERCROP.NS,Unknown,Unknown,False,Cash,1
Bharat Bijlee Limited,Capital Goods,BBL,EQ,INE464A01028,BBL.NS,Unknown,Unknown,False,Cash,1
Black Box Limited,Information Technology,BBOX,EQ,INE676A01027,BBOX.NS,Unknown,Unknown,False,Cash,1
Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,BBTC.NS,Unknown,Unknown,False,Cash,1
Bharat Dynamics Limited,Capital Goods,BDL,EQ,INE171Z01018,BDL.NS,Unknown,Unknown,True,F&O,1
Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,BECTORFOOD,EQ,INE495P01012,BECTORFOOD.NS,Unknown,Unknown,False,Cash,1
Bharat Electronics Limited,Capital Goods,BEL,EQ,INE263A01024,BEL.NS,Unknown,Unknown,True,F&O,1
BEML Limited,Capital Goods,BEML,EQ,INE258A01016,BEML.NS,Unknown,Unknown,False,Cash,1
Berger Paints (I) Limited,Consumer Durables,BERGEPAINT,EQ,INE463A01038,BERGEPAINT.NS,Unknown,Unknown,False,Cash,1
Bharat Forge Limited,Capital Goods,BHARATFORG,EQ,INE465A01025,BHARATFORG.NS,Unknown,Unknown,True,F&O,1
Bharat Rasayan Limited,Chemicals,BHARATRAS,EQ,INE838B01013,BHARATRAS.NS,Unknown,Unknown,False,Cash,1
Bharti Airtel Limited,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS,Unknown,Unknown,True,F&O,1
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,BHARTIHEXA.NS,Unknown,Unknown,False,Cash,1
Bharat Heavy Electricals Limited,Capital Goods,BHEL,EQ,INE257A01026,BHEL.NS,Unknown,Unknown,True,F&O,1
Bikaji Foods International Limited,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,BIKAJI.NS,Unknown,Unknown,False,Cash,1
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,BIOCON.NS,Unknown,Unknown,True,F&O,1
Birla Corporation Limited,Construction Materials,BIRLACORPN,EQ,INE340A01012,BIRLACORPN.NS,Unknown,Unknown,False,Cash,1
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,BLS.NS,Unknown,Unknown,False,Cash,1
Blue Dart Express Limited,Services,BLUEDART,EQ,INE233B01017,BLUEDART.NS,Unknown,Unknown,False,Cash,1
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020,BLUEJET.NS,Unknown,Unknown,False,Cash,1
Blue Star Limited,Consumer Durables,BLUESTARCO,EQ,INE472A01039,BLUESTARCO.NS,Unknown,Unknown,True,F&O,1
Bombay Dyeing & Mfg Company Limited,Textiles,BOMDYEING,EQ,INE032A01023,BOMDYEING.NS,Unknown,Unknown,False,Cash,1
Borosil Limited,Consumer Durables,BOROLTD,EQ,INE02PY01013,BOROLTD.NS,Unknown,Unknown,False,Cash,1
BOROSIL RENEWABLES LIMITED,Capital Goods,BORORENEW,EQ,INE666D01022,BORORENEW.NS,Unknown,Unknown,False,Cash,1
Bosch Limited,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,BOSCHLTD.NS,Unknown,Unknown,True,F&O,1
Bharat Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",BPCL,EQ,INE029A01011,BPCL.NS,Unknown,Unknown,True,F&O,1
Brigade Enterprises Limited,Realty,BRIGADE,EQ,INE791I01019,BRIGADE.NS,Unknown,Unknown,False,Cash,1
Britannia Industries Limited,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS,Unknown,Unknown,True,F&O,1
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,BSE.NS,Unknown,Unknown,True,F&O,1
BIRLASOFT LIMITED,Information Technology,BSOFT,EQ,INE836A01035,BSOFT.NS,Unknown,Unknown,False,Cash,1
Campus Activewear Limited,Consumer Durables,CAMPUS,EQ,INE278Y01022,CAMPUS.NS,Unknown,Unknown,False,Cash,1
Computer Age Management Services Limited,Financial Services,CAMS,EQ,INE596I01012,CAMS.NS,Unknown,Unknown,True,F&O,1
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,CANBK.NS,Unknown,Unknown,True,F&O,1
Can Fin Homes Limited,Financial Services,CANFINHOME,EQ,INE477A01020,CANFINHOME.NS,Unknown,Unknown,False,Cash,1
Caplin Point Laboratories Limited,Healthcare,CAPLIPOINT,EQ,INE475E01026,CAPLIPOINT.NS,Unknown,Unknown,False,Cash,1
Carborundum Universal Limited,Capital Goods,CARBORUNIV,EQ,INE120A01034,CARBORUNIV.NS,Unknown,Unknown,False,Cash,1
Cartrade Tech Limited,Consumer Services,CARTRADE,EQ,INE290S01011,CARTRADE.NS,Unknown,Unknown,False,Cash,1
Castrol India Limited,"Oil, Gas & Consumable Fuels",CASTROLIND,EQ,INE172A01027,CASTROLIND.NS,Unknown,Unknown,False,Cash,1
CCL Products (India) Limited,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,CCL.NS,Unknown,Unknown,False,Cash,1
