Company Name,Industry,Symbol,Series,ISIN Code,f&o
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,INE466L01038,F&O
3M India Limited,Diversified,3MINDIA,EQ,INE470A01017,#N/A
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,#N/A
Aarti Drugs Limited,Healthcare,AARTIDRUGS,EQ,INE767A01016,#N/A
Aarti Industries Limited,Chemicals,AARTIIND,EQ,INE769A01020,#N/A
Aarti Pharmalabs Limited,Healthcare,AARTIPHARM,EQ,INE0LRU01027,#N/A
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,#N/A
ABB India Limited,Capital Goods,ABB,EQ,INE117A01022,F&O
Abbott India Limited,Healthcare,ABBOTINDIA,EQ,INE358A01014,#N/A
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,INE674K01013,F&O
Aditya Birla Fashion and Retail Limited,Consumer Services,ABFRL,EQ,INE647O01011,#N/A
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,#N/A
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,#N/A
Aditya Birla Sun Life AMC Limited,Financial Services,ABSLAMC,EQ,INE404A01024,#N/A
ACC Limited,Construction Materials,ACC,EQ,INE012A01025,#N/A
Action Construction Equipment Limited,Capital Goods,ACE,EQ,INE731H01025,#N/A
Archean Chemical Industries Limited,Chemicals,ACI,EQ,INE128X01021,#N/A
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,#N/A
Adani Energy Solutions Limited,Power,ADANIENSOL,EQ,INE931S01010,F&O
Adani Enterprises Limited,Metals & Mining,ADANIENT,EQ,INE423A01024,F&O
Adani Green Energy Limited,Power,ADANIGREEN,EQ,INE364U01010,F&O
Adani Ports and Special Economic Zone Limited,Services,ADANIPORTS,EQ,INE742F01042,F&O
Adani Power Limited,Power,ADANIPOWER,EQ,INE814H01011,F&O
Advanced Enzyme Technologies Limited,Healthcare,ADVENZYMES,EQ,INE837H01020,#N/A
Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",AEGISLOG,EQ,INE208C01025,#N/A
Aegis Vopak Terminals Ltd.,"Oil, Gas & Consumable Fuels",AEGISVOPAK,EQ,INE0INX01018,#N/A
Aether Industries Limited,Chemicals,AETHER,EQ,INE0BWX01014,#N/A
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,#N/A
